"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m4,5\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mFine Arts\u001b[0m; subcategories: \u001b[92mAuditory Fine Arts\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mScience\u001b[0m; subcategories: \u001b[92mBiology,Chemistry,Physics,Math,Other Science\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mScience\u001b[0m; subcategories: \u001b[92mBiology,Chemistry,Physics,Math,Other Science\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mScience,Literature\u001b[0m; subcategories: \u001b[92mBiology,Math,American Literature,Classical Literature,European Literature,World Literature,Other Literature\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mScience\u001b[0m; subcategories: \u001b[92mChemistry\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mScience\u001b[0m; subcategories: \u001b[92mChemistry\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m3,4\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,Mythology\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,Mythology\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2,3,4,5\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,European Literature,World Literature,Other Literature\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m4,5\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mHistory,Science,Fine Arts\u001b[0m; subcategories: \u001b[92mAmerican History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m3,4,5\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mScience,Fine Arts\u001b[0m; subcategories: \u001b[92mChemistry,Physics,Biology,Visual Fine Arts,Auditory Fine Arts\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m3,4\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,Mythology,History,Fine Arts\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,Mythology,American History,Ancient History,European History,World History,Other History,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m3,4,5\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,Mythology,History,Fine Arts\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,Mythology,American History,Ancient History,European History,World History,Other History,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m3,4,5\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,Mythology,History,Fine Arts\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,Mythology,American History,Ancient History,European History,World History,Other History,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m4,5\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,Science,Mythology,Geography\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,Chemistry,Physics,Math,Other Science,Mythology,Geography\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m5\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mGeography\u001b[0m; subcategories: \u001b[92mGeography\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m5\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mGeography\u001b[0m; subcategories: \u001b[92mGeography\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m4,5\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mGeography\u001b[0m; subcategories: \u001b[92mGeography\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m7,8\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,Fine Arts,Religion,Science\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Biology,Chemistry,Physics,Math,Other Science\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m3,4\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,Fine Arts,Religion,Science\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Biology,Chemistry,Physics,Math,Other Science\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m4\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m3,4\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,Fine Arts,Religion,Science\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Biology,Chemistry,Physics,Math,Other Science\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m3,4\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m4\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mHistory\u001b[0m; subcategories: \u001b[92mAmerican History,Ancient History,European History,World History,Other History\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m4,5\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mMythology\u001b[0m; subcategories: \u001b[92mMythology\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m4\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mMythology\u001b[0m; subcategories: \u001b[92mMythology\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m3,4\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m4,5\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mGeography\u001b[0m; subcategories: \u001b[92mGeography\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m4\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mMythology\u001b[0m; subcategories: \u001b[92mMythology\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mScience\u001b[0m; subcategories: \u001b[92mChemistry\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2,3,4,5,6,7,8,9,10\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,Fine Arts\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2,3,4,5,6,7,8,9,10\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mScience,Fine Arts,Mythology\u001b[0m; subcategories: \u001b[92mBiology,Chemistry,Physics,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Mythology\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mScience,Fine Arts,Mythology\u001b[0m; subcategories: \u001b[92mBiology,Chemistry,Physics,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Mythology\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mbonus\u001b[0m; categories: \u001b[92mScience,Fine Arts,Mythology\u001b[0m; subcategories: \u001b[92mBiology,Chemistry,Physics,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Mythology\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mbonus\u001b[0m; categories: \u001b[92mScience,Fine Arts,Mythology\u001b[0m; subcategories: \u001b[92mBiology,Chemistry,Physics,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Mythology\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m5\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m4,5\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m4,5\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mbonus\u001b[0m; categories: \u001b[92mScience,Fine Arts,Mythology\u001b[0m; subcategories: \u001b[92mBiology,Chemistry,Physics,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Mythology\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mbonus\u001b[0m; categories: \u001b[92mScience,Fine Arts,Mythology\u001b[0m; subcategories: \u001b[92mBiology,Chemistry,Physics,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Mythology\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mbonus\u001b[0m; categories: \u001b[92mScience,Fine Arts,Mythology\u001b[0m; subcategories: \u001b[92mBiology,Chemistry,Physics,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Mythology\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m4,5\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mbonus\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mbonus\u001b[0m; categories: \u001b[92mScience,Mythology\u001b[0m; subcategories: \u001b[92mBiology,Chemistry,Physics,Other Science,Mythology\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m4,5\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mFine Arts,Mythology,Current Events,Literature\u001b[0m; subcategories: \u001b[92mVisual Fine Arts,Auditory Fine Arts,Other Fine Arts,Mythology,Current Events,American Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2,3,4,5,6,7,8,9,10\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mFine Arts\u001b[0m; subcategories: \u001b[92mVisual Fine Arts,Auditory Fine Arts,Other Fine Arts\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2,3,4,5,6,7,8,9,10\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mFine Arts\u001b[0m; subcategories: \u001b[92mAuditory Fine Arts\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m5\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mFine Arts\u001b[0m; subcategories: \u001b[92mAuditory Fine Arts\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mScience\u001b[0m; subcategories: \u001b[92mChemistry\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mScience,Mythology\u001b[0m; subcategories: \u001b[92mChemistry,Physics,Other Science,Biology,Mythology\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m4,5\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mGeography\u001b[0m; subcategories: \u001b[92mGeography\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m5\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mGeography\u001b[0m; subcategories: \u001b[92mGeography\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2,3,4,5,6,7,8,9,10\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mHistory\u001b[0m; subcategories: \u001b[92mAmerican History,Ancient History,European History,World History,Other History\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2,3,4,5,6,7,8,9,10\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2,3,4,5,6,7,8,9,10\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2,3,4,5,6,7,8,9,10\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2,3\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2,3\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2,3,4,5,6,7,8,9,10\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mMythology\u001b[0m; subcategories: \u001b[92mMythology\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m6,7,8,9,10\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m6,7,8,9,10\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2,3,4,5,6,7,8,9,10\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mFine Arts\u001b[0m; subcategories: \u001b[92mVisual Fine Arts,Auditory Fine Arts\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mFine Arts\u001b[0m; subcategories: \u001b[92mVisual Fine Arts,Auditory Fine Arts\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mbonus\u001b[0m; categories: \u001b[92mFine Arts\u001b[0m; subcategories: \u001b[92mVisual Fine Arts,Auditory Fine Arts\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mbonus\u001b[0m; categories: \u001b[92mFine Arts\u001b[0m; subcategories: \u001b[92mVisual Fine Arts,Auditory Fine Arts\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mbonus\u001b[0m; categories: \u001b[92mFine Arts\u001b[0m; subcategories: \u001b[92mVisual Fine Arts,Auditory Fine Arts\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mbonus\u001b[0m; categories: \u001b[92mFine Arts,Science\u001b[0m; subcategories: \u001b[92mVisual Fine Arts,Auditory Fine Arts,Chemistry,Physics\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mbonus\u001b[0m; categories: \u001b[92mFine Arts\u001b[0m; subcategories: \u001b[92mVisual Fine Arts,Auditory Fine Arts\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2,3\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mScience,Mythology\u001b[0m; subcategories: \u001b[92mChemistry,Physics,Other Science,Biology,Mythology\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mScience,Mythology\u001b[0m; subcategories: \u001b[92mChemistry,Physics,Other Science,Biology,Mythology\u001b[0m;",
